dropoff_loc,trips_2024,dropoff_loc_right,trips_2025,pct_change,zone,borough
43,148205,43,459509,210.04959346850646,Central Park,Manhattan
50,131073,50,481914,267.6683985260122,Clinton West,Manhattan
140,267976,140,888744,231.65059557572317,Lenox Hill East,Manhattan
141,351028,141,1116197,217.9794774206046,Lenox Hill West,Manhattan
142,373888,142,1182525,216.27786930845602,Lincoln Square East,Manhattan
143,199242,143,640623,221.5300990754961,Lincoln Square West,Manhattan
163,322863,163,1089236,237.36786191046977,Midtown North,Manhattan
236,593470,236,1877348,216.3341028190136,Upper East Side North,Manhattan
237,554027,237,1855672,234.94252085187185,Upper East Side South,Manhattan
239,377961,239,1175279,210.95245276629072,Upper West Side South,Manhattan
262,202867,262,650950,220.8752532447367,Yorkville East,Manhattan
263,275713,263,892163,223.58394417383295,Yorkville West,Manhattan
