date,precipitation_mm,trip_count,month
2025-05-27,0.0,121106,5
2025-05-06,18.300001,140703,5
2025-05-31,21.500002,150908,5
2025-05-28,11.0,150577,5
2025-05-12,0.0,125058,5
2025-05-13,4.7,146812,5
2025-05-24,0.4,118571,5
2025-05-08,1.4000001,159888,5
2025-05-15,1.2,162472,5
2025-05-18,0.3,141221,5
2025-05-09,16.1,156655,5
2025-05-21,2.8999994,159845,5
2025-05-25,0.0,112136,5
2025-05-03,11.5,161681,5
2025-05-04,11.299999,140535,5
2025-05-23,1.8000003,131709,5
2025-05-22,23.099997,157295,5
2025-05-01,0.0,152627,5
2025-05-02,2.1,142574,5
2025-05-07,0.2,145043,5
2025-05-19,0.0,131935,5
2025-05-17,1.9000001,176173,5
2025-05-10,0.0,157087,5
2025-05-29,1.9000001,144456,5
2025-05-14,25.500002,156769,5
2025-05-05,12.900002,131660,5
2025-05-16,0.5,157153,5
2025-05-20,0.0,147273,5
2025-05-30,7.7999997,142132,5
2025-05-11,0.0,145305,5
2025-05-26,0.0,97182,5
